top_player_x,top_player_y,bottom_player_x,bottom_player_y,ball_x,ball_y,ball_speed,bounce_x,bounce_y
46,58,90,299,,,,,
51,65,93,290,,,,,
52,66,90,289,70,123,,,
75,54,62,316,,,,,
99,44,60,316,103,72,,,
104,37,53,316,,,,,
96,36,52,311,54,305,,,
97,37,59,316,,,,,
97,39,63,319,83,292,,,
125,40,60,316,,,,,
94,52,51,311,88,100,,,
58,308,,,97,30,47.91,,
103,119,69,302,,,,,
114,138,60,252,205,-70,,,
110,137,,,,,,,
105,131,,,26,200,,,
102,127,,,,,,,
83,90,3,219,,,,,
81,86,1,216,,,,,
47,49,152,184,102,150,,,
47,48,152,184,100,136,9.6,,
48,52,151,185,,,,,
48,59,152,182,64,108,,,
44,58,152,183,,,,,
36,58,152,184,23,13,,,
88,289,152,184,,,,,
29,63,153,185,46,46,,,
25,71,152,183,,,,,
25,65,153,184,228,-204,,,
30,66,152,184,,,,,
42,57,152,184,127,142,,,
46,57,153,184,128,108,23.1,,
46,57,153,182,128,93,10.19,,
52,60,153,183,127,67,17.67,,
54,60,153,184,127,61,4.07,,
67,53,153,183,118,68,7.61,,
75,46,152,189,113,92,16.63,,
82,35,152,186,115,56,24.48,,
100,34,153,185,114,-35,61.81,,
107,21,152,185,,,,,
114,24,152,186,126,-224,,,
113,26,153,186,,,,,
101,55,152,183,113,135,,,
98,69,151,187,124,118,13.64,,
122,24,71,297,,,,,
123,21,72,298,,,,,
123,20,72,298,74,234,,,
123,20,72,298,74,228,4.07,,
123,19,73,300,74,195,22.41,,
123,20,72,297,72,188,4.93,,
123,19,74,298,73,178,6.82,,
122,22,75,296,71,170,5.59,,
122,23,73,297,71,175,3.4,,
122,22,74,296,72,183,5.47,,
122,24,74,294,72,188,3.4,,
122,24,74,290,72,192,2.72,,
122,24,74,290,72,197,3.4,,
121,25,75,291,,,,,
120,25,75,291,82,181,,,
120,26,74,288,,,,,
121,27,74,286,102,144,,,
74,287,,,107,136,6.36,,
121,27,74,289,111,130,4.86,,
121,27,74,290,119,121,8.08,,
74,290,,,,,,,
73,289,,,149,-15,,,
74,288,,,,,,,
132,24,73,287,,,,,
132,24,73,286,,,,,
133,31,73,286,,,,,
132,36,72,286,,,,,
133,38,72,286,,,,,
72,286,,,,,,,
71,286,,,,,,,
71,286,,,131,-7,,,
71,286,,,130,-7,0.66,,
70,285,,,126,1,6.04,,
137,36,71,285,124,5,3.02,,
70,285,,,121,11,4.53,,
70,284,9,215,118,16,3.93,,
68,283,9,214,116,21,3.64,,
137,39,9,213,110,35,10.3,,
137,38,66,280,107,42,5.15,,
137,39,65,279,104,51,6.43,,
136,39,64,278,101,59,5.78,,
136,37,63,277,96,75,11.36,,
136,37,63,278,93,84,6.43,,
135,37,62,277,90,95,7.73,,
133,37,59,276,86,111,11.18,,
129,36,57,271,81,132,14.64,,
129,35,55,274,76,151,13.32,,
128,35,54,275,74,162,7.59,,
128,37,53,275,72,172,6.92,,
127,35,52,274,71,182,6.82,,
124,28,50,272,66,199,12.01,,
121,29,48,269,63,217,12.38,,
120,34,48,270,62,227,6.82,,
117,35,44,269,59,230,2.84,59,230
115,34,43,269,57,229,1.49,,
113,31,42,271,55,228,1.49,,
112,33,41,271,53,228,1.32,,
110,33,39,271,50,229,2.1,,
109,33,38,271,48,231,1.9,,
108,35,37,268,46,233,1.9,,
108,34,35,268,43,237,3.36,,
108,33,34,268,,,,,
108,32,33,268,,,,,
108,34,33,268,,,,,
109,33,31,267,41,192,,,
109,33,30,266,40,176,10.89,,
110,34,30,266,41,166,6.82,,
110,34,30,265,40,152,9.53,,
110,33,29,265,40,141,7.47,,
110,35,29,264,41,123,12.24,,
