top_player_x,top_player_y,bottom_player_x,bottom_player_y,ball_x,ball_y,ball_speed,bounce_x,bounce_y
76,54,,,,,,,
76,49,,,,,,,
83,66,113,306,82,-25,,,
83,66,113,306,,,,,
83,66,114,306,,,,,
83,64,115,306,,,,,
83,68,115,306,,,,,
83,64,115,306,,,,,
83,65,116,306,,,,,
83,64,116,306,,,,,
83,64,,,,,,,
83,60,117,307,,,,,
83,64,118,306,,,,,
82,64,118,306,,,,,
83,58,,,,,,,
82,62,,,,,,,
82,62,,,,,,,
82,60,,,,,,,
82,60,,,,,,,
82,60,,,,,,,
81,60,,,,,,,
82,55,,,,,,,
82,53,117,306,,,,,
82,56,119,306,,,,,
82,53,118,306,,,,,
81,58,118,305,,,,,
80,60,118,306,,,,,
81,55,118,306,,,,,
80,55,118,306,,,,,
80,51,118,306,,,,,
80,56,119,306,,,,,
80,56,119,306,,,,,
79,53,119,306,,,,,
79,56,119,306,,,,,
79,53,119,306,,,,,
79,53,119,306,,,,,
78,56,119,306,,,,,
78,56,119,306,,,,,
78,56,119,306,,,,,
79,58,119,306,,,,,
79,56,120,305,,,,,
79,58,119,306,,,,,
78,56,120,306,,,,,
78,54,119,306,,,,,
78,51,,,,,,,
78,51,120,306,,,,,
78,51,118,306,,,,,
77,56,120,306,,,,,
77,53,120,306,,,,,
77,53,120,306,,,,,
77,56,119,306,,,,,
77,53,119,306,,,,,
78,56,119,307,,,,,
77,53,119,306,,,,,
77,53,119,306,,,,,
78,53,119,306,,,,,
78,53,119,306,,,,,
79,51,118,306,,,,,
79,53,118,305,127,282,,,
78,51,118,306,,,,,
78,56,118,306,,,,,
79,53,,,,,,,
79,56,118,305,,,,,
79,56,118,305,,,,,
79,53,118,306,,,,,
80,56,117,306,,,,,
80,49,117,307,,,,,
79,53,117,306,,,,,
80,53,117,306,,,,,
79,56,117,306,,,,,
80,49,117,306,,,,,
80,56,117,306,,,,,
80,53,117,306,,,,,
80,50,117,305,,,,,
80,49,117,305,,,,,
79,53,117,304,,,,,
80,56,118,303,,,,,
79,53,118,303,,,,,
79,53,118,303,,,,,
80,51,118,303,,,,,
80,49,118,303,,,,,
80,49,117,304,,,,,
79,53,117,304,,,,,
80,56,117,304,,,,,
80,53,117,303,,,,,
79,51,118,303,,,,,
80,49,117,303,,,,,
78,53,117,304,,,,,
78,53,117,303,,,,,
79,51,117,303,,,,,
79,53,117,303,,,,,
79,49,117,304,,,,,
78,53,117,303,,,,,
78,60,118,303,,,,,
79,52,117,303,,,,,
78,53,117,303,,,,,
79,49,117,303,,,,,
79,51,117,302,,,,,
78,56,117,302,,,,,
78,56,117,302,,,,,
77,56,117,301,,,,,
77,53,118,301,,,,,
77,56,118,300,,,,,
77,56,118,299,,,,,
78,56,118,298,,,,,
77,56,117,299,125,270,,,
76,58,118,298,,,,,
78,58,117,298,,,,,
77,56,117,297,,,,,
76,53,117,297,,,,,
76,53,116,298,,,,,
77,56,116,297,,,,,
76,53,115,297,,,,,
77,53,115,297,,,,,
76,56,115,297,,,,,
76,56,115,298,,,,,
77,57,115,297,,,,,
77,56,114,297,,,,,
77,53,115,296,,,,,
76,52,115,296,,,,,
,,,,,,,,
114,297,,,,,,,
77,56,,,,,,,
76,55,115,296,,,,,
77,56,114,297,,,,,
76,53,114,297,,,,,
76,55,115,297,,,,,
77,53,114,296,,,,,
77,53,115,297,,,,,
77,56,115,297,,,,,
77,55,,,,,,,
78,56,115,297,,,,,
78,58,115,297,,,,,
78,53,115,297,,,,,
78,56,115,297,,,,,
77,56,115,298,,,,,
77,55,114,298,,,,,
78,56,115,297,,,,,
77,53,114,298,,,,,
78,53,115,297,,,,,
77,55,115,298,,,,,
78,54,115,297,,,,,
78,55,115,297,,,,,
79,51,114,297,,,,,
78,54,115,297,,,,,
77,53,114,298,,,,,
77,53,115,298,,,,,
77,51,114,298,,,,,
78,58,115,297,,,,,
77,56,115,297,,,,,
77,58,115,298,120,273,,,
77,58,115,298,,,,,
77,57,114,298,,,,,
77,58,115,297,67,-112,,,
77,58,115,297,69,-132,40.94,,
76,53,115,297,66,-189,116.29,,
76,53,115,297,66,-173,32.6,,
114,298,,,66,-200,55.01,,
115,297,,,66,-238,77.42,,
115,297,,,63,-243,11.8,,
115,297,,,63,-267,48.9,,
115,297,,,63,-306,79.46,,
115,297,,,62,-305,2.84,,
115,297,,,58,-314,19.98,,
114,297,,,,,,,
115,297,,,,,,,
115,297,,,,,,,
114,297,,,,,,,
114,297,,,,,,,
114,297,,,,,,,
114,297,,,,,,,
114,297,,,,,,,
114,297,,,68,-303,,,
114,297,,,,,,,
114,297,,,,,,,
114,297,,,70,-307,,,
114,297,,,72,-316,18.76,,
76,54,114,297,,,,,
76,54,114,297,63,-225,,,
76,54,114,297,,,,,
76,54,114,297,,,,,
76,54,114,297,,,,,
114,297,,,,,,,
75,54,114,297,,,,,
75,54,114,297,,,,,
114,297,,,,,,,
114,297,,,,,,,
114,297,,,,,,,
114,297,,,,,,,
114,297,,,,,,,
114,297,,,,,,,
115,297,,,,,,,
115,297,,,96,79,,,
115,297,,,99,97,37.15,,
115,297,,,,,,,
,,,,,,,,
115,296,,,104,150,,,
,,,,105,165,30.63,,
80,58,115,296,107,180,30.82,,
81,60,115,296,106,191,22.5,,
81,64,115,297,108,209,36.89,,
81,64,,,109,215,12.38,109,215
82,64,,,109,217,4.07,,
82,71,,,113,219,8.92,,
82,66,,,115,220,4.46,,
83,69,,,117,222,5.69,,
82,66,,,119,224,5.69,,
83,66,,,121,226,5.69,,
83,67,,,,,,,
82,66,,,125,233,,,
83,69,,,128,238,11.8,,
82,72,119,295,129,242,8.39,,
82,68,117,296,131,245,7.29,,
82,64,117,295,132,251,12.38,,
83,66,,,134,256,10.93,,
82,66,119,295,134,262,12.22,,
82,62,119,295,,,,,
82,64,120,294,,,,,
81,64,121,294,,,,,
82,67,121,293,,,,,
82,62,122,293,,,,,
82,63,122,293,,,,,
82,63,122,293,,,,,
82,63,123,293,,,,,
81,70,123,293,,,,,
81,64,124,293,,,,,
80,62,125,293,130,172,,,
79,66,125,293,126,160,25.7,,
79,66,124,293,,,,,
79,66,125,293,,,,,
79,64,125,293,,,,,
79,64,125,292,,,,,
79,62,125,293,118,112,,,
79,62,124,293,115,106,13.59,,
79,64,124,292,115,116,20.37,,
79,64,124,292,111,70,94.06,,
79,62,123,293,,,,,
79,60,122,293,108,89,,,
