top_player_x,top_player_y,bottom_player_x,bottom_player_y,ball_x,ball_y,ball_speed,bounce_x,bounce_y
92,46,45,306,,,,,
92,49,46,306,,,,,
91,49,46,307,,,,,
92,46,46,307,,,,,
92,46,46,307,,,,,
91,49,46,306,,,,,
91,52,45,306,,,,,
91,49,46,305,,,,,
92,51,46,305,,,,,
92,43,46,306,,,,,
93,42,46,305,,,,,
92,43,46,306,,,,,
91,49,46,306,,,,,
91,49,46,306,,,,,
91,49,46,306,,,,,
91,46,46,306,,,,,
92,48,47,306,,,,,
91,50,46,305,,,,,
92,49,46,306,,,,,
91,50,46,305,,,,,
92,49,46,306,,,,,
92,49,46,306,,,,,
91,48,46,306,,,,,
91,49,46,306,,,,,
91,48,46,305,314,-54,,,
91,46,46,305,,,,,
91,43,46,305,303,68,449.14,,
91,43,46,305,300,68,,,
90,48,46,305,,,,,
90,48,46,305,,,,,
92,43,46,305,,,,,
90,48,46,305,,,,,
91,52,46,305,,,,,
91,55,46,304,,,,,
91,55,46,304,,,,,
91,55,46,304,,,,,
91,52,46,305,,,,,
91,52,46,305,,,,,
91,49,47,305,,,,,
90,48,47,305,,,,,
90,48,47,305,,,,,
90,41,46,305,,,,,
90,48,47,305,,,,,
90,48,47,306,,,,,
90,52,47,305,,,,,
90,48,47,305,,,,,
90,55,47,306,,,,,
90,52,47,305,,,,,
90,52,47,305,,,,,
90,53,47,305,,,,,
90,49,47,305,,,,,
90,49,47,306,,,,,
90,49,47,305,,,,,
91,46,47,306,,,,,
46,305,,,,,,,
92,43,47,305,,,,,
47,305,,,,,,,
47,305,,,,,,,
47,305,,,,,,,
90,44,47,305,,,,,
90,41,47,305,,,,,
90,45,46,305,365,-116,,,
91,35,46,305,416,-186,,,
91,35,46,305,,,,,
91,35,47,305,,,,,
92,30,46,305,,,,,
46,305,,,,,,,
46,305,,,,,,,
46,305,,,,,,,
46,305,,,89,-34,,,
92,45,46,305,,,,,
92,46,46,305,,,,,
93,41,46,304,,,,,
92,46,47,305,,,,,
94,40,46,305,,,,,
93,40,47,305,,,,,
93,46,47,305,,,,,
93,43,46,305,,,,,
93,43,46,305,,,,,
93,40,47,305,,,,,
93,43,47,306,,,,,
47,305,,,,,,,
91,48,48,305,,,,,
93,55,47,306,,,,,
91,44,47,306,91,-35,,,
90,50,47,305,92,-38,,,
91,44,48,305,,,,,
90,47,47,305,,,,,
90,41,47,306,,,,,
91,31,47,305,94,-132,,,
91,41,48,305,93,-166,,,
91,45,47,304,83,-197,241.59,,
47,304,,,,,,,
48,304,,,91,-252,203.72,,
48,304,,,94,-267,,,
48,303,,,90,-231,77.1,,
48,303,,,93,-289,80.76,,
48,303,,,90,-231,0.0,,
91,43,49,303,94,-421,484.11,,
91,45,49,302,97,-371,514.04,,
90,43,49,302,97,-388,121.5,,
90,43,49,301,,,,,
89,45,50,300,,,,,
89,58,50,300,,,,,
88,60,50,300,,,,,
89,55,50,300,,,,,
88,60,50,300,,,,,
88,60,50,300,,,,,
87,58,50,300,,,,,
88,46,50,301,92,-343,,,
89,48,50,300,97,-347,,,
89,48,50,300,97,-348,25.59,,
89,59,50,300,95,-227,440.14,,
89,56,51,300,92,-289,217.11,,
88,60,51,300,92,-229,12.98,,
88,53,51,300,91,-182,392.42,,
89,48,51,301,90,-199,110.25,,
87,56,52,299,91,-176,22.0,,
88,48,53,300,,,,,
88,41,52,300,,,,,
90,50,54,300,,,,,
89,53,53,300,,,,,
89,51,53,300,78,-98,,,
89,53,54,300,,,,,
88,51,55,302,,,,,
